BRAND,ITEM NAME,SKU
MikroTik,MTik RB951Ui-2HnD,RB951Ui-2HnD
MikroTik,MTik RBcAPGi-5acD2nD (cAP ac),RBcAPGi-5acD2nD
MikroTik,MTik RBSXTsq5nD (SXTsq Lite5),RBSXTsq5nD
MikroTik,MTik RBLHG5kit (LHG 5 Tripack),RBLHG5kit
RF Elements,RFE HG3-TP-S30 - Symmetrical Horn TP,HG3-TP-S30
RF Elements,RFE HG3-TP-S60 - Symmetrical Horn TP,HG3-TP-S60
RF Elements,RFE AH2030-TP - Asymmetrical Horn TP,AH2030-TP
RF Elements,RFE AH60-TP - Asymmetrical Horn TP Antenna,AH60-TP
RF Elements,RFE AH90-TP - Asymmetrical Horn TP (PREVIOUSLY HG3-TP-A90-V2),AH90-TP
RF Elements,"RFE UD-TP-27 - UltraDish TP 27, 2-PACK",UD-TP-27
RF Elements,RFE TPA-PAF - TP Adaptor Prism & AF5X-HD,TPA-PAF
